W0505 06:11:38.745000 8899 torch/distributed/run.py:852] 
W0505 06:11:38.745000 8899 torch/distributed/run.py:852] *****************************************
W0505 06:11:38.745000 8899 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0505 06:11:38.745000 8899 torch/distributed/run.py:852] *****************************************
[Gloo] Rank [Gloo] Rank 10 is connected to  is connected to 11 peer ranks.  peer ranks. Expected number of connected peer ranks is : Expected number of connected peer ranks is : 11

Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 28102.54it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 26051.58it/s]
logs/1c012825-f3d7-4920-9ed6-084e07f5c707.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:98/1480 train_time:11460ms step_avg:116.94ms
step:99/1480 train_time:11579ms step_avg:116.96ms
step:100/1480 train_time:11695ms step_avg:116.95ms
step:101/1480 train_time:11817ms step_avg:117.00ms
step:102/1480 train_time:11929ms step_avg:116.95ms
step:103/1480 train_time:12047ms step_avg:116.97ms
step:104/1480 train_time:12162ms step_avg:116.94ms
step:105/1480 train_time:12280ms step_avg:116.96ms
step:106/1480 train_time:12396ms step_avg:116.94ms
step:107/1480 train_time:12514ms step_avg:116.95ms
step:108/1480 train_time:12630ms step_avg:116.94ms
step:109/1480 train_time:12747ms step_avg:116.95ms
step:110/1480 train_time:12862ms step_avg:116.93ms
step:111/1480 train_time:12980ms step_avg:116.94ms
step:112/1480 train_time:13096ms step_avg:116.93ms
step:113/1480 train_time:13214ms step_avg:116.94ms
step:114/1480 train_time:13332ms step_avg:116.95ms
step:115/1480 train_time:13450ms step_avg:116.96ms
step:116/1480 train_time:13564ms step_avg:116.93ms
step:117/1480 train_time:13681ms step_avg:116.93ms
step:118/1480 train_time:13796ms step_avg:116.92ms
step:119/1480 train_time:13915ms step_avg:116.93ms
step:120/1480 train_time:14030ms step_avg:116.92ms
step:121/1480 train_time:14148ms step_avg:116.93ms
step:122/1480 train_time:14262ms step_avg:116.90ms
step:123/1480 train_time:14379ms step_avg:116.90ms
step:124/1480 train_time:14495ms step_avg:116.90ms
step:125/1480 train_time:14614ms step_avg:116.91ms
step:126/1480 train_time:14729ms step_avg:116.90ms
step:127/1480 train_time:14847ms step_avg:116.90ms
step:128/1480 train_time:14961ms step_avg:116.88ms
step:129/1480 train_time:15078ms step_avg:116.88ms
step:130/1480 train_time:15194ms step_avg:116.88ms
step:131/1480 train_time:15312ms step_avg:116.89ms
step:132/1480 train_time:15426ms step_avg:116.86ms
step:133/1480 train_time:15544ms step_avg:116.87ms
step:134/1480 train_time:15660ms step_avg:116.86ms
step:135/1480 train_time:15777ms step_avg:116.87ms
step:136/1480 train_time:15893ms step_avg:116.86ms
step:137/1480 train_time:16011ms step_avg:116.87ms
step:138/1480 train_time:16125ms step_avg:116.85ms
step:139/1480 train_time:16244ms step_avg:116.86ms
step:140/1480 train_time:16359ms step_avg:116.85ms
step:141/1480 train_time:16476ms step_avg:116.85ms
step:142/1480 train_time:16592ms step_avg:116.85ms
step:143/1480 train_time:16710ms step_avg:116.85ms
step:144/1480 train_time:16824ms step_avg:116.83ms
step:145/1480 train_time:16941ms step_avg:116.83ms
step:146/1480 train_time:17056ms step_avg:116.82ms
step:147/1480 train_time:17174ms step_avg:116.83ms
step:148/1480 train_time:17289ms step_avg:116.82ms
step:149/1480 train_time:17407ms step_avg:116.82ms
step:150/1480 train_time:17523ms step_avg:116.82ms
step:151/1480 train_time:17641ms step_avg:116.83ms
step:152/1480 train_time:17757ms step_avg:116.82ms
step:153/1480 train_time:17874ms step_avg:116.82ms
step:154/1480 train_time:17990ms step_avg:116.82ms
step:155/1480 train_time:18108ms step_avg:116.83ms
step:156/1480 train_time:18223ms step_avg:116.81ms
step:157/1480 train_time:18341ms step_avg:116.82ms
step:158/1480 train_time:18457ms step_avg:116.82ms
step:159/1480 train_time:18575ms step_avg:116.82ms
step:160/1480 train_time:18691ms step_avg:116.82ms
step:161/1480 train_time:18808ms step_avg:116.82ms
step:162/1480 train_time:18923ms step_avg:116.81ms
step:163/1480 train_time:19040ms step_avg:116.81ms
step:164/1480 train_time:19157ms step_avg:116.81ms
step:165/1480 train_time:19275ms step_avg:116.82ms
step:166/1480 train_time:19390ms step_avg:116.81ms
step:167/1480 train_time:19508ms step_avg:116.81ms
step:168/1480 train_time:19623ms step_avg:116.81ms
step:169/1480 train_time:19740ms step_avg:116.80ms
step:170/1480 train_time:19856ms step_avg:116.80ms
step:171/1480 train_time:19973ms step_avg:116.80ms
step:172/1480 train_time:20089ms step_avg:116.80ms
step:173/1480 train_time:20207ms step_avg:116.80ms
step:174/1480 train_time:20321ms step_avg:116.79ms
step:175/1480 train_time:20438ms step_avg:116.79ms
step:176/1480 train_time:20554ms step_avg:116.78ms
step:177/1480 train_time:20673ms step_avg:116.80ms
step:178/1480 train_time:20789ms step_avg:116.79ms
step:179/1480 train_time:20906ms step_avg:116.79ms
step:180/1480 train_time:21021ms step_avg:116.78ms
step:181/1480 train_time:21138ms step_avg:116.79ms
step:182/1480 train_time:21254ms step_avg:116.78ms
step:183/1480 train_time:21372ms step_avg:116.79ms
step:184/1480 train_time:21489ms step_avg:116.79ms
step:185/1480 train_time:21606ms step_avg:116.79ms
step:186/1480 train_time:21721ms step_avg:116.78ms
step:187/1480 train_time:21840ms step_avg:116.79ms
step:188/1480 train_time:21956ms step_avg:116.79ms
step:189/1480 train_time:22073ms step_avg:116.79ms
step:190/1480 train_time:22188ms step_avg:116.78ms
step:191/1480 train_time:22306ms step_avg:116.79ms
step:192/1480 train_time:22421ms step_avg:116.78ms
step:193/1480 train_time:22538ms step_avg:116.78ms
step:194/1480 train_time:22653ms step_avg:116.77ms
step:195/1480 train_time:22771ms step_avg:116.78ms
step:196/1480 train_time:22887ms step_avg:116.77ms
step:197/1480 train_time:23005ms step_avg:116.78ms
step:198/1480 train_time:23121ms step_avg:116.77ms
step:199/1480 train_time:23238ms step_avg:116.78ms
step:200/1480 train_time:23355ms step_avg:116.77ms
step:201/1480 train_time:23473ms step_avg:116.78ms
step:202/1480 train_time:23588ms step_avg:116.77ms
step:203/1480 train_time:23707ms step_avg:116.78ms
step:204/1480 train_time:23821ms step_avg:116.77ms
step:205/1480 train_time:23938ms step_avg:116.77ms
step:206/1480 train_time:24054ms step_avg:116.77ms
step:207/1480 train_time:24172ms step_avg:116.77ms
step:208/1480 train_time:24288ms step_avg:116.77ms
step:209/1480 train_time:24406ms step_avg:116.77ms
step:210/1480 train_time:24521ms step_avg:116.77ms
step:211/1480 train_time:24640ms step_avg:116.78ms
step:212/1480 train_time:24756ms step_avg:116.77ms
step:213/1480 train_time:24873ms step_avg:116.78ms
step:214/1480 train_time:24989ms step_avg:116.77ms
step:215/1480 train_time:25105ms step_avg:116.77ms
step:216/1480 train_time:25221ms step_avg:116.77ms
step:217/1480 train_time:25340ms step_avg:116.77ms
step:218/1480 train_time:25456ms step_avg:116.77ms
step:219/1480 train_time:25574ms step_avg:116.78ms
step:220/1480 train_time:25690ms step_avg:116.77ms
step:221/1480 train_time:25807ms step_avg:116.78ms
step:222/1480 train_time:25923ms step_avg:116.77ms
step:223/1480 train_time:26039ms step_avg:116.77ms
step:224/1480 train_time:26155ms step_avg:116.76ms
step:225/1480 train_time:26273ms step_avg:116.77ms
step:226/1480 train_time:26388ms step_avg:116.76ms
step:227/1480 train_time:26507ms step_avg:116.77ms
step:228/1480 train_time:26622ms step_avg:116.76ms
step:229/1480 train_time:26739ms step_avg:116.77ms
step:230/1480 train_time:26855ms step_avg:116.76ms
step:231/1480 train_time:26972ms step_avg:116.76ms
step:232/1480 train_time:27089ms step_avg:116.76ms
step:233/1480 train_time:27207ms step_avg:116.77ms
step:234/1480 train_time:27322ms step_avg:116.76ms
step:235/1480 train_time:27439ms step_avg:116.76ms
step:236/1480 train_time:27556ms step_avg:116.76ms
step:237/1480 train_time:27673ms step_avg:116.76ms
step:238/1480 train_time:27788ms step_avg:116.75ms
step:239/1480 train_time:27906ms step_avg:116.76ms
step:240/1480 train_time:28020ms step_avg:116.75ms
step:241/1480 train_time:28141ms step_avg:116.77ms
step:242/1480 train_time:28255ms step_avg:116.75ms
step:243/1480 train_time:28373ms step_avg:116.76ms
step:244/1480 train_time:28489ms step_avg:116.76ms
step:245/1480 train_time:28606ms step_avg:116.76ms
step:246/1480 train_time:28725ms step_avg:116.77ms
step:247/1480 train_time:28839ms step_avg:116.76ms
step:248/1480 train_time:28956ms step_avg:116.76ms
step:249/1480 train_time:29073ms step_avg:116.76ms
step:250/1480 train_time:29187ms step_avg:116.75ms
step:250/1480 val_loss:4.7192 train_time:29229ms step_avg:116.92ms
step:251/1480 train_time:29305ms step_avg:116.75ms
step:252/1480 train_time:29421ms step_avg:116.75ms
step:253/1480 train_time:29538ms step_avg:116.75ms
step:254/1480 train_time:29652ms step_avg:116.74ms
step:255/1480 train_time:29769ms step_avg:116.74ms
step:256/1480 train_time:29885ms step_avg:116.74ms
step:257/1480 train_time:30006ms step_avg:116.76ms
step:258/1480 train_time:30122ms step_avg:116.75ms
step:259/1480 train_time:30240ms step_avg:116.76ms
step:260/1480 train_time:30355ms step_avg:116.75ms
step:261/1480 train_time:30471ms step_avg:116.75ms
step:262/1480 train_time:30587ms step_avg:116.74ms
step:263/1480 train_time:30704ms step_avg:116.75ms
step:264/1480 train_time:30819ms step_avg:116.74ms
step:265/1480 train_time:30937ms step_avg:116.74ms
step:266/1480 train_time:31052ms step_avg:116.74ms
step:267/1480 train_time:31172ms step_avg:116.75ms
step:268/1480 train_time:31287ms step_avg:116.74ms
step:269/1480 train_time:31404ms step_avg:116.74ms
step:270/1480 train_time:31519ms step_avg:116.74ms
step:271/1480 train_time:31637ms step_avg:116.74ms
step:272/1480 train_time:31752ms step_avg:116.73ms
step:273/1480 train_time:31869ms step_avg:116.73ms
step:274/1480 train_time:31984ms step_avg:116.73ms
step:275/1480 train_time:32104ms step_avg:116.74ms
step:276/1480 train_time:32220ms step_avg:116.74ms
step:277/1480 train_time:32337ms step_avg:116.74ms
step:278/1480 train_time:32452ms step_avg:116.73ms
step:279/1480 train_time:32569ms step_avg:116.73ms
step:280/1480 train_time:32684ms step_avg:116.73ms
step:281/1480 train_time:32803ms step_avg:116.74ms
step:282/1480 train_time:32918ms step_avg:116.73ms
step:283/1480 train_time:33036ms step_avg:116.73ms
step:284/1480 train_time:33151ms step_avg:116.73ms
step:285/1480 train_time:33268ms step_avg:116.73ms
step:286/1480 train_time:33384ms step_avg:116.73ms
step:287/1480 train_time:33503ms step_avg:116.73ms
step:288/1480 train_time:33617ms step_avg:116.72ms
step:289/1480 train_time:33734ms step_avg:116.73ms
step:290/1480 train_time:33850ms step_avg:116.72ms
step:291/1480 train_time:33968ms step_avg:116.73ms
step:292/1480 train_time:34084ms step_avg:116.73ms
step:293/1480 train_time:34202ms step_avg:116.73ms
step:294/1480 train_time:34317ms step_avg:116.72ms
step:295/1480 train_time:34435ms step_avg:116.73ms
step:296/1480 train_time:34550ms step_avg:116.72ms
step:297/1480 train_time:34667ms step_avg:116.73ms
step:298/1480 train_time:34783ms step_avg:116.72ms
step:299/1480 train_time:34901ms step_avg:116.73ms
step:300/1480 train_time:35016ms step_avg:116.72ms
step:301/1480 train_time:35134ms step_avg:116.73ms
step:302/1480 train_time:35249ms step_avg:116.72ms
step:303/1480 train_time:35367ms step_avg:116.72ms
step:304/1480 train_time:35482ms step_avg:116.72ms
step:305/1480 train_time:35600ms step_avg:116.72ms
step:306/1480 train_time:35714ms step_avg:116.71ms
step:307/1480 train_time:35832ms step_avg:116.72ms
step:308/1480 train_time:35948ms step_avg:116.71ms
step:309/1480 train_time:36065ms step_avg:116.72ms
step:310/1480 train_time:36181ms step_avg:116.71ms
step:311/1480 train_time:36298ms step_avg:116.72ms
step:312/1480 train_time:36414ms step_avg:116.71ms
step:313/1480 train_time:36531ms step_avg:116.71ms
step:314/1480 train_time:36647ms step_avg:116.71ms
step:315/1480 train_time:36765ms step_avg:116.71ms
step:316/1480 train_time:36881ms step_avg:116.71ms
step:317/1480 train_time:36999ms step_avg:116.72ms
step:318/1480 train_time:37114ms step_avg:116.71ms
step:319/1480 train_time:37233ms step_avg:116.72ms
step:320/1480 train_time:37348ms step_avg:116.71ms
step:321/1480 train_time:37465ms step_avg:116.71ms
step:322/1480 train_time:37580ms step_avg:116.71ms
step:323/1480 train_time:37698ms step_avg:116.71ms
step:324/1480 train_time:37813ms step_avg:116.71ms
step:325/1480 train_time:37931ms step_avg:116.71ms
step:326/1480 train_time:38045ms step_avg:116.70ms
step:327/1480 train_time:38163ms step_avg:116.71ms
step:328/1480 train_time:38278ms step_avg:116.70ms
step:329/1480 train_time:38396ms step_avg:116.71ms
step:330/1480 train_time:38511ms step_avg:116.70ms
step:331/1480 train_time:38629ms step_avg:116.70ms
step:332/1480 train_time:38744ms step_avg:116.70ms
step:333/1480 train_time:38861ms step_avg:116.70ms
step:334/1480 train_time:38976ms step_avg:116.69ms
step:335/1480 train_time:39095ms step_avg:116.70ms
step:336/1480 train_time:39210ms step_avg:116.70ms
step:337/1480 train_time:39328ms step_avg:116.70ms
step:338/1480 train_time:39444ms step_avg:116.70ms
step:339/1480 train_time:39561ms step_avg:116.70ms
step:340/1480 train_time:39675ms step_avg:116.69ms
step:341/1480 train_time:39792ms step_avg:116.69ms
step:342/1480 train_time:39907ms step_avg:116.69ms
step:343/1480 train_time:40025ms step_avg:116.69ms
step:344/1480 train_time:40140ms step_avg:116.69ms
step:345/1480 train_time:40257ms step_avg:116.69ms
step:346/1480 train_time:40372ms step_avg:116.68ms
step:347/1480 train_time:40491ms step_avg:116.69ms
step:348/1480 train_time:40607ms step_avg:116.69ms
step:349/1480 train_time:40725ms step_avg:116.69ms
step:350/1480 train_time:40840ms step_avg:116.69ms
step:351/1480 train_time:40958ms step_avg:116.69ms
step:352/1480 train_time:41075ms step_avg:116.69ms
step:353/1480 train_time:41191ms step_avg:116.69ms
step:354/1480 train_time:41307ms step_avg:116.69ms
step:355/1480 train_time:41426ms step_avg:116.69ms
step:356/1480 train_time:41541ms step_avg:116.69ms
step:357/1480 train_time:41658ms step_avg:116.69ms
step:358/1480 train_time:41773ms step_avg:116.68ms
step:359/1480 train_time:41891ms step_avg:116.69ms
step:360/1480 train_time:42007ms step_avg:116.69ms
step:361/1480 train_time:42126ms step_avg:116.69ms
step:362/1480 train_time:42241ms step_avg:116.69ms
step:363/1480 train_time:42358ms step_avg:116.69ms
step:364/1480 train_time:42473ms step_avg:116.69ms
step:365/1480 train_time:42591ms step_avg:116.69ms
step:366/1480 train_time:42706ms step_avg:116.68ms
step:367/1480 train_time:42824ms step_avg:116.69ms
step:368/1480 train_time:42940ms step_avg:116.68ms
step:369/1480 train_time:43057ms step_avg:116.69ms
step:370/1480 train_time:43173ms step_avg:116.68ms
step:371/1480 train_time:43290ms step_avg:116.68ms
step:372/1480 train_time:43406ms step_avg:116.68ms
step:373/1480 train_time:43524ms step_avg:116.69ms
step:374/1480 train_time:43639ms step_avg:116.68ms
step:375/1480 train_time:43757ms step_avg:116.68ms
step:376/1480 train_time:43871ms step_avg:116.68ms
step:377/1480 train_time:43990ms step_avg:116.69ms
step:378/1480 train_time:44107ms step_avg:116.68ms
step:379/1480 train_time:44225ms step_avg:116.69ms
step:380/1480 train_time:44340ms step_avg:116.68ms
step:381/1480 train_time:44456ms step_avg:116.68ms
step:382/1480 train_time:44572ms step_avg:116.68ms
step:383/1480 train_time:44690ms step_avg:116.68ms
step:384/1480 train_time:44805ms step_avg:116.68ms
step:385/1480 train_time:44923ms step_avg:116.68ms
step:386/1480 train_time:45041ms step_avg:116.69ms
step:387/1480 train_time:45157ms step_avg:116.68ms
step:388/1480 train_time:45273ms step_avg:116.68ms
step:389/1480 train_time:45391ms step_avg:116.69ms
step:390/1480 train_time:45506ms step_avg:116.68ms
step:391/1480 train_time:45624ms step_avg:116.68ms
step:392/1480 train_time:45739ms step_avg:116.68ms
step:393/1480 train_time:45857ms step_avg:116.68ms
step:394/1480 train_time:45972ms step_avg:116.68ms
step:395/1480 train_time:46089ms step_avg:116.68ms
step:396/1480 train_time:46205ms step_avg:116.68ms
step:397/1480 train_time:46323ms step_avg:116.68ms
step:398/1480 train_time:46440ms step_avg:116.68ms
step:399/1480 train_time:46555ms step_avg:116.68ms
step:400/1480 train_time:46672ms step_avg:116.68ms
step:401/1480 train_time:46790ms step_avg:116.68ms
step:402/1480 train_time:46906ms step_avg:116.68ms
step:403/1480 train_time:47024ms step_avg:116.68ms
step:404/1480 train_time:47138ms step_avg:116.68ms
step:405/1480 train_time:47256ms step_avg:116.68ms
step:406/1480 train_time:47373ms step_avg:116.68ms
step:407/1480 train_time:47490ms step_avg:116.68ms
step:408/1480 train_time:47607ms step_avg:116.68ms
step:409/1480 train_time:47725ms step_avg:116.69ms
step:410/1480 train_time:47839ms step_avg:116.68ms
step:411/1480 train_time:47956ms step_avg:116.68ms
step:412/1480 train_time:48072ms step_avg:116.68ms
step:413/1480 train_time:48190ms step_avg:116.68ms
step:414/1480 train_time:48306ms step_avg:116.68ms
step:415/1480 train_time:48424ms step_avg:116.68ms
step:416/1480 train_time:48540ms step_avg:116.68ms
step:417/1480 train_time:48657ms step_avg:116.68ms
step:418/1480 train_time:48772ms step_avg:116.68ms
step:419/1480 train_time:48889ms step_avg:116.68ms
step:420/1480 train_time:49005ms step_avg:116.68ms
step:421/1480 train_time:49123ms step_avg:116.68ms
step:422/1480 train_time:49237ms step_avg:116.68ms
step:423/1480 train_time:49355ms step_avg:116.68ms
step:424/1480 train_time:49470ms step_avg:116.67ms
step:425/1480 train_time:49587ms step_avg:116.68ms
step:426/1480 train_time:49703ms step_avg:116.67ms
step:427/1480 train_time:49821ms step_avg:116.68ms
step:428/1480 train_time:49936ms step_avg:116.67ms
step:429/1480 train_time:50052ms step_avg:116.67ms
step:430/1480 train_time:50168ms step_avg:116.67ms
step:431/1480 train_time:50284ms step_avg:116.67ms
step:432/1480 train_time:50400ms step_avg:116.67ms
step:433/1480 train_time:50518ms step_avg:116.67ms
step:434/1480 train_time:50633ms step_avg:116.67ms
step:435/1480 train_time:50749ms step_avg:116.67ms
step:436/1480 train_time:50865ms step_avg:116.66ms
step:437/1480 train_time:50984ms step_avg:116.67ms
step:438/1480 train_time:51098ms step_avg:116.66ms
step:439/1480 train_time:51216ms step_avg:116.67ms
step:440/1480 train_time:51332ms step_avg:116.66ms
step:441/1480 train_time:51450ms step_avg:116.67ms
step:442/1480 train_time:51565ms step_avg:116.66ms
step:443/1480 train_time:51682ms step_avg:116.66ms
step:444/1480 train_time:51798ms step_avg:116.66ms
