W0505 05:44:42.031000 6249 torch/distributed/run.py:852] 
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] *****************************************
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 1 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
[Gloo] Rank 0 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6973.07it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 41943.04it/s]
logs/f76c54c3-c5fe-46b4-8d17-4d9eed580620.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:99/1480 train_time:11525ms step_avg:116.41ms
step:100/1480 train_time:11640ms step_avg:116.40ms
step:101/1480 train_time:11759ms step_avg:116.42ms
step:102/1480 train_time:11874ms step_avg:116.41ms
step:103/1480 train_time:11993ms step_avg:116.43ms
step:104/1480 train_time:12108ms step_avg:116.42ms
step:105/1480 train_time:12225ms step_avg:116.43ms
step:106/1480 train_time:12340ms step_avg:116.42ms
step:107/1480 train_time:12458ms step_avg:116.43ms
step:108/1480 train_time:12572ms step_avg:116.41ms
step:109/1480 train_time:12690ms step_avg:116.42ms
step:110/1480 train_time:12806ms step_avg:116.41ms
step:111/1480 train_time:12923ms step_avg:116.42ms
step:112/1480 train_time:13038ms step_avg:116.42ms
step:113/1480 train_time:13156ms step_avg:116.43ms
step:114/1480 train_time:13271ms step_avg:116.41ms
step:115/1480 train_time:13388ms step_avg:116.42ms
step:116/1480 train_time:13504ms step_avg:116.42ms
step:117/1480 train_time:13621ms step_avg:116.42ms
step:118/1480 train_time:13737ms step_avg:116.41ms
step:119/1480 train_time:13855ms step_avg:116.43ms
step:120/1480 train_time:13970ms step_avg:116.42ms
step:121/1480 train_time:14087ms step_avg:116.42ms
step:122/1480 train_time:14202ms step_avg:116.41ms
step:123/1480 train_time:14321ms step_avg:116.43ms
step:124/1480 train_time:14437ms step_avg:116.43ms
step:125/1480 train_time:14554ms step_avg:116.43ms
step:126/1480 train_time:14669ms step_avg:116.42ms
step:127/1480 train_time:14787ms step_avg:116.43ms
step:128/1480 train_time:14904ms step_avg:116.43ms
step:129/1480 train_time:15021ms step_avg:116.44ms
step:130/1480 train_time:15137ms step_avg:116.44ms
step:131/1480 train_time:15254ms step_avg:116.44ms
step:132/1480 train_time:15370ms step_avg:116.44ms
step:133/1480 train_time:15486ms step_avg:116.44ms
step:134/1480 train_time:15602ms step_avg:116.43ms
step:135/1480 train_time:15720ms step_avg:116.44ms
step:136/1480 train_time:15835ms step_avg:116.43ms
step:137/1480 train_time:15953ms step_avg:116.45ms
step:138/1480 train_time:16068ms step_avg:116.44ms
step:139/1480 train_time:16185ms step_avg:116.44ms
step:140/1480 train_time:16302ms step_avg:116.44ms
step:141/1480 train_time:16421ms step_avg:116.46ms
step:142/1480 train_time:16536ms step_avg:116.45ms
step:143/1480 train_time:16653ms step_avg:116.45ms
step:144/1480 train_time:16769ms step_avg:116.45ms
step:145/1480 train_time:16886ms step_avg:116.45ms
step:146/1480 train_time:17002ms step_avg:116.45ms
step:147/1480 train_time:17120ms step_avg:116.46ms
step:148/1480 train_time:17235ms step_avg:116.45ms
step:149/1480 train_time:17354ms step_avg:116.47ms
step:150/1480 train_time:17470ms step_avg:116.46ms
step:151/1480 train_time:17587ms step_avg:116.47ms
step:152/1480 train_time:17704ms step_avg:116.47ms
step:153/1480 train_time:17822ms step_avg:116.48ms
step:154/1480 train_time:17937ms step_avg:116.47ms
step:155/1480 train_time:18054ms step_avg:116.48ms
step:156/1480 train_time:18169ms step_avg:116.47ms
step:157/1480 train_time:18286ms step_avg:116.47ms
step:158/1480 train_time:18402ms step_avg:116.47ms
step:159/1480 train_time:18519ms step_avg:116.47ms
step:160/1480 train_time:18634ms step_avg:116.46ms
step:161/1480 train_time:18752ms step_avg:116.47ms
step:162/1480 train_time:18866ms step_avg:116.46ms
step:163/1480 train_time:18983ms step_avg:116.46ms
step:164/1480 train_time:19099ms step_avg:116.46ms
step:165/1480 train_time:19216ms step_avg:116.46ms
step:166/1480 train_time:19331ms step_avg:116.45ms
step:167/1480 train_time:19448ms step_avg:116.45ms
step:168/1480 train_time:19564ms step_avg:116.45ms
step:169/1480 train_time:19681ms step_avg:116.46ms
step:170/1480 train_time:19798ms step_avg:116.46ms
step:171/1480 train_time:19915ms step_avg:116.46ms
step:172/1480 train_time:20030ms step_avg:116.45ms
step:173/1480 train_time:20146ms step_avg:116.45ms
step:174/1480 train_time:20262ms step_avg:116.45ms
step:175/1480 train_time:20380ms step_avg:116.46ms
step:176/1480 train_time:20495ms step_avg:116.45ms
step:177/1480 train_time:20612ms step_avg:116.45ms
step:178/1480 train_time:20727ms step_avg:116.44ms
step:179/1480 train_time:20845ms step_avg:116.45ms
step:180/1480 train_time:20960ms step_avg:116.44ms
step:181/1480 train_time:21076ms step_avg:116.44ms
step:182/1480 train_time:21191ms step_avg:116.44ms
step:183/1480 train_time:21309ms step_avg:116.44ms
step:184/1480 train_time:21423ms step_avg:116.43ms
step:185/1480 train_time:21541ms step_avg:116.44ms
step:186/1480 train_time:21656ms step_avg:116.43ms
step:187/1480 train_time:21774ms step_avg:116.44ms
step:188/1480 train_time:21890ms step_avg:116.43ms
step:189/1480 train_time:22006ms step_avg:116.44ms
step:190/1480 train_time:22121ms step_avg:116.43ms
step:191/1480 train_time:22238ms step_avg:116.43ms
step:192/1480 train_time:22352ms step_avg:116.42ms
step:193/1480 train_time:22469ms step_avg:116.42ms
step:194/1480 train_time:22585ms step_avg:116.42ms
step:195/1480 train_time:22702ms step_avg:116.42ms
step:196/1480 train_time:22818ms step_avg:116.42ms
step:197/1480 train_time:22936ms step_avg:116.43ms
step:198/1480 train_time:23052ms step_avg:116.42ms
step:199/1480 train_time:23167ms step_avg:116.42ms
step:200/1480 train_time:23283ms step_avg:116.41ms
step:201/1480 train_time:23399ms step_avg:116.41ms
step:202/1480 train_time:23513ms step_avg:116.40ms
step:203/1480 train_time:23632ms step_avg:116.42ms
step:204/1480 train_time:23747ms step_avg:116.41ms
step:205/1480 train_time:23865ms step_avg:116.41ms
step:206/1480 train_time:23981ms step_avg:116.41ms
step:207/1480 train_time:24098ms step_avg:116.42ms
step:208/1480 train_time:24213ms step_avg:116.41ms
step:209/1480 train_time:24329ms step_avg:116.41ms
step:210/1480 train_time:24444ms step_avg:116.40ms
step:211/1480 train_time:24562ms step_avg:116.41ms
step:212/1480 train_time:24677ms step_avg:116.40ms
step:213/1480 train_time:24795ms step_avg:116.41ms
step:214/1480 train_time:24910ms step_avg:116.40ms
step:215/1480 train_time:25027ms step_avg:116.40ms
step:216/1480 train_time:25142ms step_avg:116.40ms
step:217/1480 train_time:25259ms step_avg:116.40ms
step:218/1480 train_time:25373ms step_avg:116.39ms
step:219/1480 train_time:25491ms step_avg:116.40ms
step:220/1480 train_time:25606ms step_avg:116.39ms
step:221/1480 train_time:25724ms step_avg:116.40ms
step:222/1480 train_time:25840ms step_avg:116.40ms
step:223/1480 train_time:25957ms step_avg:116.40ms
step:224/1480 train_time:26072ms step_avg:116.39ms
step:225/1480 train_time:26189ms step_avg:116.40ms
step:226/1480 train_time:26304ms step_avg:116.39ms
step:227/1480 train_time:26421ms step_avg:116.39ms
step:228/1480 train_time:26537ms step_avg:116.39ms
