W0505 06:42:27.524000 11431 torch/distributed/run.py:852] 
W0505 06:42:27.524000 11431 torch/distributed/run.py:852] *****************************************
W0505 06:42:27.524000 11431 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0505 06:42:27.524000 11431 torch/distributed/run.py:852] *****************************************
logs/3b0564f6-2be5-48a1-bbb4-9ed915ae8c27.txt
step:113/3350 train_time:72.194s step_avg:638.89ms
step:114/3350 train_time:72.774s step_avg:638.36ms
step:115/3350 train_time:73.351s step_avg:637.84ms
step:116/3350 train_time:73.932s step_avg:637.34ms
step:117/3350 train_time:74.511s step_avg:636.84ms
step:118/3350 train_time:75.093s step_avg:636.38ms
step:119/3350 train_time:75.671s step_avg:635.89ms
step:120/3350 train_time:76.251s step_avg:635.43ms
step:121/3350 train_time:76.832s step_avg:634.97ms
step:122/3350 train_time:77.413s step_avg:634.53ms
step:123/3350 train_time:77.993s step_avg:634.09ms
step:124/3350 train_time:78.574s step_avg:633.66ms
step:125/3350 train_time:79.154s step_avg:633.23ms
step:125/3350 val_loss:4.84622 train_time:79.164s step_avg:633.31ms
step:126/3350 train_time:79.735s step_avg:632.82ms
step:127/3350 train_time:80.311s step_avg:632.37ms
step:128/3350 train_time:80.891s step_avg:631.96ms
step:129/3350 train_time:81.470s step_avg:631.55ms
step:130/3350 train_time:82.051s step_avg:631.16ms
step:131/3350 train_time:82.631s step_avg:630.77ms
step:132/3350 train_time:83.212s step_avg:630.40ms
step:133/3350 train_time:83.790s step_avg:630.00ms
step:134/3350 train_time:84.370s step_avg:629.63ms
step:135/3350 train_time:84.949s step_avg:629.25ms
step:136/3350 train_time:85.529s step_avg:628.89ms
step:137/3350 train_time:86.109s step_avg:628.54ms
step:138/3350 train_time:86.688s step_avg:628.18ms
step:139/3350 train_time:87.270s step_avg:627.84ms
step:140/3350 train_time:87.850s step_avg:627.50ms
step:141/3350 train_time:88.428s step_avg:627.15ms
step:142/3350 train_time:89.007s step_avg:626.81ms
step:143/3350 train_time:89.586s step_avg:626.48ms
step:144/3350 train_time:90.166s step_avg:626.15ms
step:145/3350 train_time:90.748s step_avg:625.85ms
step:146/3350 train_time:91.328s step_avg:625.53ms
step:147/3350 train_time:91.908s step_avg:625.23ms
step:148/3350 train_time:92.486s step_avg:624.91ms
step:149/3350 train_time:93.066s step_avg:624.61ms
step:150/3350 train_time:93.642s step_avg:624.28ms
step:151/3350 train_time:94.214s step_avg:623.94ms
step:152/3350 train_time:94.792s step_avg:623.63ms
step:153/3350 train_time:95.369s step_avg:623.33ms
step:154/3350 train_time:95.950s step_avg:623.05ms
step:155/3350 train_time:96.529s step_avg:622.77ms
step:156/3350 train_time:97.109s step_avg:622.49ms
step:157/3350 train_time:97.688s step_avg:622.22ms
step:158/3350 train_time:98.269s step_avg:621.95ms
step:159/3350 train_time:98.847s step_avg:621.68ms
step:160/3350 train_time:99.428s step_avg:621.42ms
step:161/3350 train_time:100.008s step_avg:621.17ms
step:162/3350 train_time:100.587s step_avg:620.91ms
step:163/3350 train_time:101.168s step_avg:620.67ms
step:164/3350 train_time:101.749s step_avg:620.42ms
step:165/3350 train_time:102.329s step_avg:620.18ms
step:166/3350 train_time:102.910s step_avg:619.94ms
step:167/3350 train_time:103.489s step_avg:619.70ms
step:168/3350 train_time:104.070s step_avg:619.46ms
step:169/3350 train_time:104.650s step_avg:619.23ms
step:170/3350 train_time:105.230s step_avg:619.00ms
step:171/3350 train_time:105.810s step_avg:618.77ms
step:172/3350 train_time:106.389s step_avg:618.54ms
step:173/3350 train_time:106.970s step_avg:618.32ms
step:174/3350 train_time:107.551s step_avg:618.11ms
step:175/3350 train_time:108.131s step_avg:617.89ms
step:176/3350 train_time:108.711s step_avg:617.68ms
step:177/3350 train_time:109.289s step_avg:617.45ms
step:178/3350 train_time:109.871s step_avg:617.25ms
step:179/3350 train_time:110.450s step_avg:617.04ms
step:180/3350 train_time:111.031s step_avg:616.84ms
step:181/3350 train_time:111.611s step_avg:616.64ms
step:182/3350 train_time:112.189s step_avg:616.42ms
step:183/3350 train_time:112.770s step_avg:616.23ms
step:184/3350 train_time:113.350s step_avg:616.03ms
step:185/3350 train_time:113.931s step_avg:615.84ms
step:186/3350 train_time:114.511s step_avg:615.65ms
step:187/3350 train_time:115.089s step_avg:615.45ms
step:188/3350 train_time:115.671s step_avg:615.27ms
step:189/3350 train_time:116.249s step_avg:615.07ms
step:190/3350 train_time:116.831s step_avg:614.90ms
step:191/3350 train_time:117.535s step_avg:615.37ms
step:192/3350 train_time:118.118s step_avg:615.20ms
step:193/3350 train_time:118.688s step_avg:614.96ms
step:194/3350 train_time:119.272s step_avg:614.80ms
step:195/3350 train_time:119.847s step_avg:614.60ms
step:196/3350 train_time:120.430s step_avg:614.44ms
step:197/3350 train_time:121.011s step_avg:614.27ms
step:198/3350 train_time:121.590s step_avg:614.09ms
step:199/3350 train_time:122.169s step_avg:613.92ms
step:200/3350 train_time:122.749s step_avg:613.75ms
step:201/3350 train_time:123.330s step_avg:613.58ms
step:202/3350 train_time:123.909s step_avg:613.41ms
step:203/3350 train_time:124.489s step_avg:613.25ms
step:204/3350 train_time:125.071s step_avg:613.09ms
step:205/3350 train_time:125.650s step_avg:612.93ms
step:206/3350 train_time:126.231s step_avg:612.77ms
step:207/3350 train_time:126.811s step_avg:612.61ms
step:208/3350 train_time:127.390s step_avg:612.45ms
step:209/3350 train_time:127.970s step_avg:612.30ms
step:210/3350 train_time:128.551s step_avg:612.15ms
step:211/3350 train_time:129.132s step_avg:612.00ms
step:212/3350 train_time:129.709s step_avg:611.84ms
step:213/3350 train_time:130.289s step_avg:611.69ms
step:214/3350 train_time:130.870s step_avg:611.54ms
step:215/3350 train_time:131.449s step_avg:611.39ms
step:216/3350 train_time:132.030s step_avg:611.25ms
step:217/3350 train_time:132.609s step_avg:611.10ms
step:218/3350 train_time:133.189s step_avg:610.96ms
step:219/3350 train_time:133.770s step_avg:610.82ms
step:220/3350 train_time:134.350s step_avg:610.68ms
step:221/3350 train_time:134.931s step_avg:610.55ms
step:222/3350 train_time:135.510s step_avg:610.41ms
step:223/3350 train_time:136.090s step_avg:610.27ms
step:224/3350 train_time:136.669s step_avg:610.13ms
step:225/3350 train_time:137.251s step_avg:610.00ms
step:226/3350 train_time:137.831s step_avg:609.87ms
step:227/3350 train_time:138.411s step_avg:609.74ms
step:228/3350 train_time:138.991s step_avg:609.61ms
step:229/3350 train_time:139.569s step_avg:609.47ms
step:230/3350 train_time:140.151s step_avg:609.35ms
step:231/3350 train_time:140.730s step_avg:609.22ms
step:232/3350 train_time:141.310s step_avg:609.10ms
step:233/3350 train_time:141.890s step_avg:608.97ms
step:234/3350 train_time:142.470s step_avg:608.84ms
step:235/3350 train_time:143.050s step_avg:608.73ms
step:236/3350 train_time:143.630s step_avg:608.60ms
step:237/3350 train_time:144.212s step_avg:608.49ms
step:238/3350 train_time:144.790s step_avg:608.36ms
step:239/3350 train_time:145.372s step_avg:608.25ms
step:240/3350 train_time:145.950s step_avg:608.13ms
step:241/3350 train_time:146.530s step_avg:608.01ms
step:242/3350 train_time:147.109s step_avg:607.89ms
step:243/3350 train_time:147.688s step_avg:607.77ms
step:244/3350 train_time:148.269s step_avg:607.66ms
step:245/3350 train_time:148.850s step_avg:607.55ms
step:246/3350 train_time:149.430s step_avg:607.44ms
step:247/3350 train_time:150.011s step_avg:607.33ms
step:248/3350 train_time:150.591s step_avg:607.22ms
step:249/3350 train_time:151.171s step_avg:607.11ms
step:250/3350 train_time:151.752s step_avg:607.01ms
step:250/3350 val_loss:4.22245 train_time:151.762s step_avg:580.78ms
step:251/3350 train_time:152.329s step_avg:606.89ms
step:252/3350 train_time:152.907s step_avg:606.77ms
step:253/3350 train_time:153.484s step_avg:606.66ms
step:254/3350 train_time:154.066s step_avg:606.56ms
step:255/3350 train_time:154.645s step_avg:606.45ms
step:256/3350 train_time:155.224s step_avg:606.34ms
step:257/3350 train_time:155.804s step_avg:606.24ms
step:258/3350 train_time:156.383s step_avg:606.13ms
step:259/3350 train_time:156.965s step_avg:606.04ms
step:260/3350 train_time:157.544s step_avg:605.94ms
step:261/3350 train_time:158.124s step_avg:605.84ms
step:262/3350 train_time:158.704s step_avg:605.74ms
step:263/3350 train_time:159.286s step_avg:605.65ms
step:264/3350 train_time:159.865s step_avg:605.55ms
step:265/3350 train_time:160.445s step_avg:605.45ms
step:266/3350 train_time:161.025s step_avg:605.36ms
step:267/3350 train_time:161.602s step_avg:605.25ms
step:268/3350 train_time:162.185s step_avg:605.17ms
step:269/3350 train_time:162.764s step_avg:605.07ms
step:270/3350 train_time:163.344s step_avg:604.98ms
step:271/3350 train_time:163.924s step_avg:604.89ms
step:272/3350 train_time:164.504s step_avg:604.79ms
step:273/3350 train_time:165.085s step_avg:604.71ms
step:274/3350 train_time:165.665s step_avg:604.62ms
step:275/3350 train_time:166.247s step_avg:604.53ms
step:276/3350 train_time:166.825s step_avg:604.44ms
step:277/3350 train_time:167.405s step_avg:604.35ms
step:278/3350 train_time:167.986s step_avg:604.26ms
step:279/3350 train_time:168.566s step_avg:604.18ms
step:280/3350 train_time:169.147s step_avg:604.10ms
step:281/3350 train_time:169.725s step_avg:604.00ms
step:282/3350 train_time:170.307s step_avg:603.92ms
step:283/3350 train_time:170.886s step_avg:603.84ms
step:284/3350 train_time:171.467s step_avg:603.76ms
step:285/3350 train_time:172.049s step_avg:603.68ms
step:286/3350 train_time:172.626s step_avg:603.59ms
step:287/3350 train_time:173.207s step_avg:603.51ms
step:288/3350 train_time:173.786s step_avg:603.43ms
step:289/3350 train_time:174.367s step_avg:603.35ms
step:290/3350 train_time:174.947s step_avg:603.26ms
step:291/3350 train_time:175.527s step_avg:603.18ms
step:292/3350 train_time:176.109s step_avg:603.11ms
step:293/3350 train_time:176.687s step_avg:603.03ms
step:294/3350 train_time:177.268s step_avg:602.95ms
step:295/3350 train_time:177.845s step_avg:602.87ms
step:296/3350 train_time:178.427s step_avg:602.79ms
step:297/3350 train_time:179.007s step_avg:602.72ms
step:298/3350 train_time:179.586s step_avg:602.64ms
step:299/3350 train_time:180.167s step_avg:602.57ms
step:300/3350 train_time:180.747s step_avg:602.49ms
step:301/3350 train_time:181.327s step_avg:602.41ms
step:302/3350 train_time:181.906s step_avg:602.34ms
step:303/3350 train_time:182.486s step_avg:602.27ms
step:304/3350 train_time:183.066s step_avg:602.19ms
step:305/3350 train_time:183.648s step_avg:602.12ms
step:306/3350 train_time:184.225s step_avg:602.04ms
step:307/3350 train_time:184.806s step_avg:601.98ms
step:308/3350 train_time:185.388s step_avg:601.91ms
step:309/3350 train_time:185.967s step_avg:601.84ms
step:310/3350 train_time:186.546s step_avg:601.76ms
step:311/3350 train_time:187.126s step_avg:601.69ms
step:312/3350 train_time:187.707s step_avg:601.62ms
step:313/3350 train_time:188.287s step_avg:601.56ms
step:314/3350 train_time:188.867s step_avg:601.49ms
step:315/3350 train_time:189.446s step_avg:601.42ms
step:316/3350 train_time:190.026s step_avg:601.35ms
step:317/3350 train_time:190.607s step_avg:601.28ms
step:318/3350 train_time:191.187s step_avg:601.22ms
step:319/3350 train_time:191.766s step_avg:601.15ms
step:320/3350 train_time:192.346s step_avg:601.08ms
step:321/3350 train_time:192.925s step_avg:601.01ms
step:322/3350 train_time:193.506s step_avg:600.95ms
step:323/3350 train_time:194.085s step_avg:600.88ms
step:324/3350 train_time:194.667s step_avg:600.82ms
step:325/3350 train_time:195.246s step_avg:600.76ms
step:326/3350 train_time:195.826s step_avg:600.69ms
step:327/3350 train_time:196.406s step_avg:600.63ms
step:328/3350 train_time:196.985s step_avg:600.56ms
step:329/3350 train_time:197.566s step_avg:600.50ms
step:330/3350 train_time:198.146s step_avg:600.44ms
step:331/3350 train_time:198.727s step_avg:600.38ms
step:332/3350 train_time:199.306s step_avg:600.32ms
step:333/3350 train_time:199.884s step_avg:600.25ms
step:334/3350 train_time:200.466s step_avg:600.20ms
step:335/3350 train_time:201.044s step_avg:600.13ms
step:336/3350 train_time:201.624s step_avg:600.07ms
step:337/3350 train_time:202.205s step_avg:600.01ms
step:338/3350 train_time:202.784s step_avg:599.95ms
step:339/3350 train_time:203.366s step_avg:599.90ms
step:340/3350 train_time:203.945s step_avg:599.84ms
step:341/3350 train_time:204.527s step_avg:599.79ms
step:342/3350 train_time:205.105s step_avg:599.72ms
step:343/3350 train_time:205.685s step_avg:599.66ms
step:344/3350 train_time:206.265s step_avg:599.61ms
step:345/3350 train_time:206.845s step_avg:599.55ms
step:346/3350 train_time:207.424s step_avg:599.49ms
step:347/3350 train_time:208.005s step_avg:599.44ms
step:348/3350 train_time:208.583s step_avg:599.38ms
step:349/3350 train_time:209.165s step_avg:599.33ms
step:350/3350 train_time:209.744s step_avg:599.27ms
step:351/3350 train_time:210.324s step_avg:599.21ms
step:352/3350 train_time:210.905s step_avg:599.16ms
step:353/3350 train_time:211.484s step_avg:599.11ms
step:354/3350 train_time:212.067s step_avg:599.06ms
step:355/3350 train_time:212.645s step_avg:599.00ms
step:356/3350 train_time:213.226s step_avg:598.95ms
step:357/3350 train_time:213.802s step_avg:598.89ms
step:358/3350 train_time:214.384s step_avg:598.84ms
step:359/3350 train_time:214.963s step_avg:598.78ms
step:360/3350 train_time:215.544s step_avg:598.73ms
step:361/3350 train_time:216.125s step_avg:598.68ms
step:362/3350 train_time:216.704s step_avg:598.63ms
step:363/3350 train_time:217.284s step_avg:598.58ms
step:364/3350 train_time:217.864s step_avg:598.53ms
step:365/3350 train_time:218.445s step_avg:598.48ms
step:366/3350 train_time:219.023s step_avg:598.42ms
step:367/3350 train_time:219.603s step_avg:598.37ms
step:368/3350 train_time:220.184s step_avg:598.32ms
step:369/3350 train_time:220.763s step_avg:598.28ms
step:370/3350 train_time:221.343s step_avg:598.23ms
step:371/3350 train_time:221.922s step_avg:598.17ms
step:372/3350 train_time:222.502s step_avg:598.12ms
step:373/3350 train_time:223.083s step_avg:598.08ms
step:374/3350 train_time:223.663s step_avg:598.03ms
step:375/3350 train_time:224.244s step_avg:597.98ms
step:375/3350 val_loss:4.01779 train_time:224.254s step_avg:579.94ms
step:376/3350 train_time:224.824s step_avg:597.94ms
step:377/3350 train_time:225.404s step_avg:597.89ms
step:378/3350 train_time:225.984s step_avg:597.84ms
step:379/3350 train_time:226.562s step_avg:597.79ms
step:380/3350 train_time:227.141s step_avg:597.74ms
step:381/3350 train_time:227.742s step_avg:597.75ms
step:382/3350 train_time:228.328s step_avg:597.72ms
step:383/3350 train_time:228.901s step_avg:597.65ms
step:384/3350 train_time:229.486s step_avg:597.62ms
step:385/3350 train_time:230.061s step_avg:597.56ms
step:386/3350 train_time:230.645s step_avg:597.53ms
step:387/3350 train_time:231.223s step_avg:597.48ms
step:388/3350 train_time:231.803s step_avg:597.43ms
step:389/3350 train_time:232.386s step_avg:597.39ms
step:390/3350 train_time:232.963s step_avg:597.34ms
step:391/3350 train_time:233.544s step_avg:597.30ms
step:392/3350 train_time:234.123s step_avg:597.25ms
step:393/3350 train_time:234.704s step_avg:597.21ms
step:394/3350 train_time:235.285s step_avg:597.17ms
step:395/3350 train_time:235.864s step_avg:597.12ms
step:396/3350 train_time:236.445s step_avg:597.08ms
step:397/3350 train_time:237.024s step_avg:597.04ms
step:398/3350 train_time:237.605s step_avg:597.00ms
step:399/3350 train_time:238.183s step_avg:596.95ms
step:400/3350 train_time:238.763s step_avg:596.91ms
step:401/3350 train_time:239.343s step_avg:596.87ms
step:402/3350 train_time:239.925s step_avg:596.83ms
step:403/3350 train_time:240.505s step_avg:596.79ms
step:404/3350 train_time:241.085s step_avg:596.74ms
step:405/3350 train_time:241.663s step_avg:596.70ms
step:406/3350 train_time:242.242s step_avg:596.66ms
step:407/3350 train_time:242.823s step_avg:596.62ms
step:408/3350 train_time:243.404s step_avg:596.58ms
step:409/3350 train_time:243.984s step_avg:596.54ms
step:410/3350 train_time:244.565s step_avg:596.50ms
step:411/3350 train_time:245.143s step_avg:596.46ms
step:412/3350 train_time:245.724s step_avg:596.42ms
step:413/3350 train_time:246.304s step_avg:596.38ms
step:414/3350 train_time:246.884s step_avg:596.34ms
step:415/3350 train_time:247.464s step_avg:596.30ms
step:416/3350 train_time:248.043s step_avg:596.26ms
step:417/3350 train_time:248.624s step_avg:596.22ms
step:418/3350 train_time:249.204s step_avg:596.18ms
step:419/3350 train_time:249.785s step_avg:596.15ms
step:420/3350 train_time:250.364s step_avg:596.11ms
step:421/3350 train_time:250.943s step_avg:596.06ms
step:422/3350 train_time:251.525s step_avg:596.03ms
step:423/3350 train_time:252.103s step_avg:595.99ms
step:424/3350 train_time:252.685s step_avg:595.96ms
step:425/3350 train_time:253.264s step_avg:595.91ms
step:426/3350 train_time:253.843s step_avg:595.88ms
step:427/3350 train_time:254.424s step_avg:595.84ms
step:428/3350 train_time:255.004s step_avg:595.80ms
step:429/3350 train_time:255.585s step_avg:595.77ms
step:430/3350 train_time:256.164s step_avg:595.73ms
step:431/3350 train_time:256.744s step_avg:595.69ms
step:432/3350 train_time:257.324s step_avg:595.66ms
step:433/3350 train_time:257.905s step_avg:595.62ms
step:434/3350 train_time:258.483s step_avg:595.58ms
step:435/3350 train_time:259.064s step_avg:595.55ms
step:436/3350 train_time:259.644s step_avg:595.51ms
step:437/3350 train_time:260.223s step_avg:595.48ms
step:438/3350 train_time:260.806s step_avg:595.45ms
step:439/3350 train_time:261.384s step_avg:595.41ms
step:440/3350 train_time:261.964s step_avg:595.37ms
step:441/3350 train_time:262.541s step_avg:595.33ms
step:442/3350 train_time:263.122s step_avg:595.30ms
step:443/3350 train_time:263.703s step_avg:595.27ms
step:444/3350 train_time:264.283s step_avg:595.23ms
step:445/3350 train_time:264.861s step_avg:595.19ms
step:446/3350 train_time:265.442s step_avg:595.16ms
step:447/3350 train_time:266.022s step_avg:595.13ms
step:448/3350 train_time:266.603s step_avg:595.10ms
step:449/3350 train_time:267.183s step_avg:595.06ms
step:450/3350 train_time:267.761s step_avg:595.02ms
step:451/3350 train_time:268.342s step_avg:594.99ms
step:452/3350 train_time:268.922s step_avg:594.96ms
step:453/3350 train_time:269.504s step_avg:594.93ms
step:454/3350 train_time:270.084s step_avg:594.90ms
step:455/3350 train_time:270.663s step_avg:594.86ms
step:456/3350 train_time:271.241s step_avg:594.83ms
step:457/3350 train_time:271.823s step_avg:594.80ms
step:458/3350 train_time:272.403s step_avg:594.77ms
step:459/3350 train_time:272.983s step_avg:594.73ms
step:460/3350 train_time:273.563s step_avg:594.70ms
step:461/3350 train_time:274.143s step_avg:594.67ms
step:462/3350 train_time:274.724s step_avg:594.64ms
step:463/3350 train_time:275.302s step_avg:594.60ms
step:464/3350 train_time:275.882s step_avg:594.57ms
step:465/3350 train_time:276.460s step_avg:594.54ms
step:466/3350 train_time:277.040s step_avg:594.51ms
step:467/3350 train_time:277.620s step_avg:594.47ms
step:468/3350 train_time:278.195s step_avg:594.43ms
step:469/3350 train_time:278.767s step_avg:594.39ms
step:470/3350 train_time:279.344s step_avg:594.35ms
step:471/3350 train_time:279.922s step_avg:594.31ms
step:472/3350 train_time:280.501s step_avg:594.28ms
step:473/3350 train_time:281.079s step_avg:594.25ms
step:474/3350 train_time:281.651s step_avg:594.20ms
step:475/3350 train_time:282.224s step_avg:594.16ms
step:476/3350 train_time:282.803s step_avg:594.12ms
step:477/3350 train_time:283.383s step_avg:594.09ms
step:478/3350 train_time:283.961s step_avg:594.06ms
step:479/3350 train_time:284.539s step_avg:594.03ms
step:480/3350 train_time:285.119s step_avg:594.00ms
step:481/3350 train_time:285.697s step_avg:593.96ms
step:482/3350 train_time:286.270s step_avg:593.92ms
step:483/3350 train_time:286.846s step_avg:593.88ms
step:484/3350 train_time:287.424s step_avg:593.85ms
step:485/3350 train_time:288.005s step_avg:593.82ms
step:486/3350 train_time:288.584s step_avg:593.79ms
step:487/3350 train_time:289.164s step_avg:593.77ms
step:488/3350 train_time:289.743s step_avg:593.74ms
step:489/3350 train_time:290.324s step_avg:593.71ms
step:490/3350 train_time:290.904s step_avg:593.68ms
step:491/3350 train_time:291.484s step_avg:593.65ms
step:492/3350 train_time:292.064s step_avg:593.63ms
step:493/3350 train_time:292.643s step_avg:593.60ms
step:494/3350 train_time:293.223s step_avg:593.57ms
step:495/3350 train_time:293.803s step_avg:593.54ms
step:496/3350 train_time:294.384s step_avg:593.52ms
step:497/3350 train_time:294.964s step_avg:593.49ms
step:498/3350 train_time:295.545s step_avg:593.46ms
step:499/3350 train_time:296.124s step_avg:593.44ms
step:500/3350 train_time:296.706s step_avg:593.41ms
step:500/3350 val_loss:3.88862 train_time:296.716s step_avg:579.70ms
step:501/3350 train_time:297.290s step_avg:593.39ms
step:502/3350 train_time:297.871s step_avg:593.37ms
step:503/3350 train_time:298.451s step_avg:593.34ms
step:504/3350 train_time:299.031s step_avg:593.32ms
step:505/3350 train_time:299.611s step_avg:593.29ms
step:506/3350 train_time:300.191s step_avg:593.26ms
step:507/3350 train_time:300.772s step_avg:593.24ms
step:508/3350 train_time:301.352s step_avg:593.21ms
step:509/3350 train_time:301.932s step_avg:593.19ms
step:510/3350 train_time:302.512s step_avg:593.16ms
step:511/3350 train_time:303.091s step_avg:593.13ms
step:512/3350 train_time:303.671s step_avg:593.11ms
step:513/3350 train_time:304.252s step_avg:593.08ms
